id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage
pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,0.00000673,2825879999,46,2825879999,972323263,0.00000812,0.00000666,-0.000001326987111107,-16.46394,-559972709.4264121,-16.5386,420690000000000,420690000000000,420690000000000,0.00001064,-37.13471,2024-03-14T07:01:12.472Z,5.5142e-8,12027.68182,2023-04-18T02:14:41.591Z,,2024-03-18T18:02:41.433Z,,,
maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1696502423,3068.76,2819605224,47,2982100644,230784748,3310.05,3049.02,-76.99051296815651,-2.44745,-82550976.60167122,-2.84447,924359.673639777,977631.036950888,1005577,6292.31,-51.27017,2021-05-03T21:54:29.333Z,168.36,1721.26287,2020-03-16T20:52:36.527Z,,2024-03-18T18:02:38.626Z,,,
dogwifcoin,wif,dogwifhat,https://assets.coingecko.com/coins/images/33566/large/dogwifhat.jpg?1702499428,2.69,2731028774,48,2731028774,899413105,3.26,2.55,-0.08677426376401343,-3.12231,68135359,2.5587,998926392,998926392,998926392,3.47,-21.6369,2024-03-15T02:11:25.613Z,0.00155464,174983.26213,2023-12-13T07:13:50.873Z,,2024-03-18T18:02:54.779Z,,,
mantle,mnt,Mantle,https://assets.coingecko.com/coins/images/30980/large/token-logo.png?1696529819,0.827438,2669622536,49,5137674554,328993763,0.879509,0.814991,-0.039588747146780734,-4.56603,-132468042.05086803,-4.72747,3231662126.03314,6219316794.99,6219316794.99,1.094,-24.88104,2024-03-11T08:55:07.391Z,0.307978,166.8511,2023-10-18T02:50:46.942Z,,2024-03-18T18:02:19.137Z,,,
fetch-ai,fet,Fetch.ai,https://assets.coingecko.com/coins/images/5681/large/Fetch.jpg?1696506140,2.48,2581683856,50,2852689344,602200008,2.96,2.47,-0.3662466705603422,-12.8647,-419335278.1321664,-13.9731,1043462805,1152997575,1152997575,3.11,-20.12111,2024-03-10T00:24:58.632Z,0.00816959,30289.86993,2020-03-13T02:24:18.347Z,,2024-03-18T18:02:44.412Z,27.612052872839215,usd,2761.2052872839217
monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,137.75,2510112963,51,,57701997,144.69,136.77,-6.334459121712513,-4.39644,-123693294.88410711,-4.69637,18147820.3764146,,,542.33,-74.45182,2018-01-09T00:00:00.000Z,0.216177,63993.08874,2015-01-14T00:00:00.000Z,,2024-03-18T18:02:54.755Z,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.891533,2499300388,52,2830353879,657125417,0.945158,0.814136,0.01612371,1.84185,51932850,2.12199,2803634835.52659,3175000000,3175000000,3.46,-74.20084,2021-10-28T05:19:39.845Z,0.00190227,46806.22318,2020-03-13T02:25:38.280Z,,2024-03-18T18:02:34.787Z,28.717765653657764,usd,2871.776565365776
thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1696506946,8.21,2445611537,53,4066523071,545739608,9.03,8.1,-0.7788230977851143,-8.66317,-226280452.5724101,-8.46892,300700561,500000000,500000000,20.87,-60.64415,2021-05-19T00:30:09.436Z,0.00851264,96375.46831,2019-09-28T00:00:00.000Z,,2024-03-18T18:02:49.419Z,215.0848442157759,usd,21508.48442157759
celestia,tia,Celestia,https://assets.coingecko.com/coins/images/31967/large/tia.jpg?1696530772,12.96,2219010633,54,13332307430,131141954,14.41,12.86,-1.211524605571677,-8.54957,-203015199.51247263,-8.38204,171509281.174549,1030465753.42455,,20.85,-38.34794,2024-02-10T14:30:02.495Z,2.08,516.99029,2023-10-31T15:14:31.951Z,,2024-03-18T18:01:44.245Z,,,
sei-network,sei,Sei,https://assets.coingecko.com/coins/images/28205/large/Sei_Logo_-_Transparent.png?1696527207,0.826647,2209627668,55,8260290347,236766162,0.90803,0.813315,-0.05691712316509267,-6.44176,-165500742.33798695,-6.96808,2675000000,10000000000,,1.14,-27.7109,2024-03-16T02:30:23.904Z,0.095364,763.94644,2023-10-19T08:05:30.655Z,,2024-03-18T18:02:54.308Z,,,
